iter	MAE	RMSE
0	0.6747688202	0.8599529955
1	0.6738719184	0.8591272758
2	0.6730283462	0.8583984051
3	0.6723806331	0.8578786429
4	0.6718353129	0.8573962132
5	0.6710183466	0.8566528625
6	0.6702493569	0.8560010052
7	0.6694361516	0.8553056414
8	0.6686244044	0.8545478834
9	0.668174123	0.8540628654
10	0.6678492718	0.8538127762
11	0.6671019397	0.8530948448
12	0.6663482688	0.8524289469
13	0.6658016831	0.8518906085
14	0.6649904098	0.8511459814
15	0.6641432746	0.8503796952
16	0.6633500304	0.8497858842
17	0.6629612808	0.8494749027
18	0.6621048299	0.8486461924
19	0.6611262077	0.8477080934
20	0.6605309225	0.8471875454
21	0.6595630313	0.8463555002
22	0.6590206144	0.8458456334
23	0.6584352033	0.8453870762
24	0.6575579842	0.8446414226
25	0.656648627	0.8438714922
26	0.6557509446	0.8430349537
27	0.6551776863	0.8424986291
28	0.6542297973	0.8417057047
29	0.6531748005	0.8408391342
30	0.652408806	0.8401966602
31	0.6517087001	0.8395714146
32	0.6509221529	0.8388179345
33	0.6503899574	0.8383819819
34	0.6498067105	0.837918113
35	0.6490879167	0.8372443895
36	0.6484279202	0.8367211115
37	0.6476196544	0.8359977165
38	0.6471719928	0.8355480725
39	0.6465074859	0.8349931527
40	0.6458451704	0.8344754103
41	0.6448689822	0.833597681
42	0.6442824204	0.8330920556
43	0.6437450957	0.8327247159
44	0.6430611996	0.8320843939
45	0.6422106371	0.8313210682
46	0.6415693867	0.8308226665
47	0.6410072184	0.8304469668
48	0.6406842061	0.8302001453
49	0.6402282008	0.8298707774
50	0.6400229367	0.8297825609
51	0.6393195903	0.8291883827
52	0.6388919501	0.8288825771
53	0.638416547	0.828514381
54	0.6377171673	0.8279024524
55	0.6369801353	0.8273287084
56	0.6363166817	0.8267336252
57	0.6359213664	0.8264249651
58	0.6354474655	0.8259907231
59	0.6346405768	0.8253773169
60	0.6339245364	0.8247164219
61	0.6331139974	0.8240563468
62	0.6328416333	0.8238762639
63	0.6320986036	0.8233080394
64	0.6316208941	0.8229229016
65	0.6308239229	0.8222238199
66	0.6302594762	0.8217315048
67	0.629672131	0.8212437678
68	0.6296745359	0.8212437457
69	0.6290542456	0.820748349
70	0.6286654709	0.8203982208
71	0.6282787842	0.8201141662
72	0.6275416923	0.8196186152
73	0.6269978692	0.8191853316
74	0.6269990341	0.8191837121
75	0.6265350093	0.8187242685
76	0.6265363575	0.818724152
77	0.6260265446	0.8183341663
78	0.625615354	0.817983153
79	0.6250190654	0.8175110934
80	0.6245352182	0.8171258034
81	0.6239854656	0.8166588308
82	0.6236003412	0.8163319906
83	0.6230187373	0.8158716476
84	0.6224219935	0.8153942443
85	0.6220152297	0.8149779729
86	0.6213803816	0.8142883515
87	0.6208325249	0.8138132958
88	0.6202510763	0.8133654722
89	0.6195987333	0.8127763768
90	0.6193240973	0.8125335453
91	0.6185145818	0.8118970507
92	0.6181650752	0.8116739669
93	0.6174405754	0.8111178623
94	0.617022729	0.8108333244
95	0.6165568985	0.8104991165
96	0.6161807803	0.810198282
97	0.6157272262	0.8098615138
98	0.6153143204	0.8095114637
99	0.6150547813	0.809325576
100	0.6150557705	0.8093240805
101	0.6148203684	0.8090127089
102	0.614328993	0.8084611549
103	0.6139758461	0.8082089407
104	0.6136348253	0.8079203982
105	0.6132597536	0.8075548927
106	0.6128372877	0.8070787011
107	0.612506226	0.8068344116
108	0.6118410125	0.8062356238
109	0.611842562	0.8062352457
110	0.6112290209	0.8057843396
111	0.6107402869	0.8054138201
112	0.6102619311	0.8050821212
113	0.6096431223	0.8046133571
114	0.6090837153	0.8041656172
115	0.6085651097	0.8037113507
116	0.6083397156	0.8035428182
117	0.6077005352	0.8030244868
118	0.6074579584	0.8026966517
119	0.6068017314	0.8022101665
120	0.6064039887	0.801992738
121	0.6057777794	0.8014989301
122	0.6055289352	0.801314967
123	0.6053109703	0.8010636618
124	0.6048263717	0.8007228946
125	0.6043980048	0.8004146745
126	0.6040205798	0.8000966744
127	0.6038546759	0.7999704553
128	0.6038552037	0.7999689166
129	0.6033460969	0.7995508325
130	0.6029652454	0.7992215947
131	0.6026635301	0.7988295361
132	0.6023407906	0.798548337
133	0.602342923	0.7985482913
134	0.602037273	0.7983085901
135	0.6017082882	0.7980602694
136	0.6013259439	0.7977732903
137	0.6010091608	0.7974559953
138	0.6005914904	0.7971140415
139	0.6004063255	0.796971633
140	0.600063956	0.7966970608
141	0.5996962168	0.7962641873
142	0.5996972	0.7962637455
143	0.5996106367	0.7962207057
144	0.59927649	0.7958490976
145	0.598784148	0.7954892522
146	0.5985560607	0.7952673928
147	0.5981304816	0.7948911706
148	0.5976052038	0.7944713921
149	0.5971379925	0.7941309418
150	0.596621657	0.7935949727
151	0.5962347746	0.7932129126
152	0.5958299567	0.7928606215
153	0.5954963766	0.7925551071
154	0.5950609636	0.7922575803
155	0.5946932223	0.7918727837
156	0.5943062656	0.7915250729
157	0.5940455175	0.7913870344
158	0.593717504	0.7910023048
159	0.5930966363	0.7903992203
160	0.5926175136	0.7899270172
161	0.5923954931	0.7897021983
162	0.5923277425	0.7895712824
163	0.5919942544	0.7892758284
164	0.5914893239	0.7887778245
165	0.5911892841	0.7885406421
166	0.5909378957	0.7882358958
167	0.5905523983	0.7878449811
168	0.5901312971	0.7874227539
169	0.5898963419	0.7871870797
170	0.5894072877	0.7867674317
171	0.5891061954	0.7863427758
172	0.588702063	0.7859494136
173	0.5885385577	0.7857119942
174	0.5882353052	0.7853197046
175	0.5878198882	0.7848763685
176	0.5875623309	0.7846417566
177	0.5871223929	0.7843215487
178	0.5868612364	0.7840842142
179	0.5866066693	0.7838382187
180	0.5864382566	0.7836651172
181	0.5861714141	0.7833892232
182	0.5861704949	0.7833890787
183	0.5858392197	0.7830253105
184	0.5855523441	0.782769496
185	0.5852389413	0.7824557595
186	0.5848391134	0.7820850987
187	0.5845838778	0.781883859
188	0.5844458055	0.7817317749
189	0.5844132034	0.7816999536
190	0.5843851374	0.7816964466
191	0.583937962	0.7812701484
192	0.5836631951	0.7810519103
193	0.5834883548	0.7809119859
194	0.5831859625	0.7806347329
195	0.5829249177	0.7803864378
196	0.5826179663	0.7800680802
197	0.5821940278	0.7797856616
198	0.5821281984	0.7797394361
199	0.5821273791	0.7797393166
200	0.5819244678	0.7794761998
201	0.5815221557	0.7791091831
202	0.5812379233	0.7787877748
203	0.5809272844	0.7784936387
204	0.5807102431	0.7782841407
205	0.580710751	0.77828383
206	0.5804746881	0.7780319095
207	0.5801699329	0.7778033324
