iter	Passed	Remaining
0	317	635341
1	573	572573
2	679	452435
3	739	368958
4	836	333691
5	960	319097
6	1058	301468
7	1148	286074
8	1213	268461
9	1271	253009
10	1324	239460
11	1381	228933
12	1435	219370
13	1488	211146
14	1559	206331
15	1635	202763
16	1726	201410
17	1811	199434
18	1869	194926
19	1921	190230
20	1978	186487
21	2031	182665
22	2082	178989
23	2131	175472
24	2173	171685
25	2211	167915
26	2255	164849
27	2306	162409
28	2361	160533
29	2453	161102
30	2511	159531
31	2569	158005
32	2620	156192
33	2663	154029
34	2719	152666
35	2767	150955
36	2822	149739
37	2882	148819
38	2929	147307
39	2998	146909
40	3049	145717
41	3095	144322
42	3139	142872
43	3184	141550
44	3229	140301
45	3275	139129
46	3315	137762
47	3333	135554
48	3359	133762
49	3398	132545
50	3415	130537
51	3458	129574
52	3497	128482
53	3537	127497
54	3575	126449
55	3612	125395
56	3654	124575
57	3692	123647
58	3732	122799
59	3773	121997
60	3820	121446
61	3861	120705
62	3895	119758
63	3937	119122
64	3980	118501
65	4020	117805
66	4063	117235
67	4104	116603
68	4114	115155
69	4150	114439
70	4191	113873
71	4231	113304
72	4270	112726
73	4316	112338
74	4329	111118
75	4371	110680
76	4391	109679
77	4436	109330
78	4479	108930
79	4516	108389
80	4571	108300
81	4627	108235
82	4676	107999
83	4717	107596
84	4758	107199
85	4797	106769
86	4837	106370
87	4897	106419
88	4934	105946
89	4973	105555
90	5014	105195
91	5057	104884
92	5102	104638
93	5148	104398
94	5190	104074
95	5232	103769
96	5274	103469
97	5316	103191
98	5359	102919
99	5403	102669
100	5419	101898
101	5464	101677
102	5500	101309
103	5537	100944
104	5575	100626
105	5612	100291
106	5649	99957
107	5685	99604
108	5720	99242
109	5731	98470
110	5772	98232
111	5813	98000
112	5855	97778
113	5906	97719
114	5952	97568
115	5992	97321
116	6033	97109
117	6077	96930
118	6115	96662
119	6154	96427
120	6191	96153
121	6227	95867
122	6266	95625
123	6303	95369
124	6343	95148
125	6380	94891
126	6423	94735
127	6467	94590
128	6479	93977
129	6519	93779
130	6562	93632
131	6603	93453
132	6644	93275
133	6656	92695
134	6692	92460
135	6730	92250
136	6770	92069
137	6810	91899
138	6849	91707
139	6900	91682
140	6942	91528
141	6979	91323
142	6990	90779
143	7004	90274
144	7041	90084
145	7080	89910
146	7119	89738
147	7153	89520
148	7195	89383
149	7237	89260
150	7274	89079
151	7315	88939
152	7357	88813
153	7402	88734
154	7444	88618
155	7496	88610
156	7540	88514
157	7565	88197
158	7610	88124
159	7650	87978
160	7689	87831
161	7732	87731
162	7774	87620
163	7816	87504
164	7853	87343
165	7896	87238
166	7938	87135
167	7975	86967
168	8011	86804
169	8048	86638
170	8088	86518
171	8127	86373
172	8163	86213
173	8200	86056
174	8239	85921
175	8283	85851
176	8344	85945
177	8418	86169
178	8459	86063
179	8500	85954
180	8563	86064
181	8597	85884
182	8609	85485
183	8645	85331
184	8680	85160
185	8715	85002
186	8752	84858
187	8792	84745
188	8830	84611
189	8841	84226
190	8851	83833
191	8892	83733
192	8926	83575
193	8961	83423
194	9003	83336
195	9077	83549
196	9141	83667
197	9194	83674
198	9206	83323
199	9237	83141
200	9272	82990
201	9307	82846
202	9350	82769
203	9405	82801
204	9447	82724
205	9460	82386
206	9503	82317
207	9537	82171
208	9579	82090
209	9621	82008
210	9653	81852
211	9691	81736
212	9727	81607
213	9764	81492
214	9806	81414
215	9860	81436
216	9917	81484
217	10074	82348
218	10137	82438
219	10175	82325
220	10284	82791
221	10341	82824
222	10402	82892
223	10465	82976
224	10525	83037
225	10588	83114
226	10645	83150
227	10710	83239
228	10765	83256
229	10820	83268
230	10869	83236
231	10905	83105
232	10952	83060
233	10998	83006
234	11013	82716
235	11054	82628
236	11099	82570
237	11111	82262
238	11147	82134
239	11183	82011
240	11223	81919
241	11263	81826
242	11302	81723
243	11321	81478
244	11360	81378
245	11399	81278
246	11437	81173
247	11471	81037
248	11510	80942
249	11526	80684
250	11561	80558
251	11597	80446
252	11640	80379
253	11681	80299
254	11715	80172
255	11733	79935
256	11743	79643
257	11781	79548
258	11815	79426
259	11856	79349
260	11895	79260
261	11934	79167
262	11972	79075
263	12009	78974
264	12052	78910
265	12090	78813
266	12128	78724
267	12166	78628
268	12201	78517
269	12236	78405
270	12286	78389
271	12324	78298
272	12361	78199
273	12397	78098
274	12436	78008
275	12473	77917
276	12491	77700
277	12528	77603
278	12567	77519
279	12601	77406
280	12638	77312
281	12682	77264
282	12695	77022
283	12730	76920
284	12773	76865
285	12809	76766
286	12840	76642
287	12876	76544
288	12911	76439
289	12921	76191
290	12961	76121
291	13000	76041
292	13036	75951
293	13047	75713
294	13063	75504
295	13098	75403
296	13141	75353
297	13181	75282
298	13214	75177
299	13249	75081
300	13293	75033
301	13330	74952
302	13369	74876
303	13409	74811
304	13446	74727
305	13485	74657
306	13499	74442
307	13534	74349
308	13572	74274
309	13608	74189
310	13642	74093
311	13692	74080
312	13727	73987
313	13764	73905
314	13808	73867
315	13852	73819
316	13872	73648
317	13912	73588
318	13949	73508
319	13984	73419
320	14020	73335
321	14063	73285
322	14099	73203
323	14135	73118
324	14173	73049
325	14208	72959
326	14244	72880
327	14296	72878
328	14333	72800
329	14369	72718
330	14405	72637
331	14438	72541
332	14474	72458
333	14512	72388
334	14547	72301
335	14584	72227
336	14623	72164
337	14644	72009
338	14687	71965
339	14724	71888
340	14769	71855
341	14808	71791
342	14848	71732
343	14886	71663
344	14914	71546
345	14948	71460
346	14984	71381
347	15021	71306
348	15058	71238
349	15103	71201
350	15141	71133
351	15177	71056
352	15187	70862
353	15226	70799
354	15266	70741
355	15322	70759
356	15364	70709
357	15407	70668
358	15451	70629
359	15470	70478
360	15509	70416
361	15529	70271
362	15565	70193
363	15602	70126
364	15645	70082
365	15692	70057
366	15737	70024
367	15773	69950
368	15831	69977
369	15870	69914
